Name,Position,Birthdate,Foot,Height,Nationality,Club,Year,Path,ID,Birth_Day,Birth_Month,Birth_Year
Seddik Chebbi,Gardien de but,29 sept. 1993 (26),,,Tunisie,cs hammam lif,2019,/seddik-chebbi/marktwertverlauf/spieler/399656,399656,29,sept.,1993
Mohamed Aloui,Attaquant,9 nov. 1997 (22),,,Tunisie,us tataouine,2019,/mohamed-aloui/profil/spieler/504229,504229,9,nov.,1997
Belahsen Jouini,Attaquant,24 juin 1996 (24),,,Tunisie,us tataouine,2019,/belahsen-jouini/profil/spieler/488619,488619,24,juin,1996
Ali Abdi,Arrière gauche,20 déc. 1993 (25),left,"1,83m",Tunisie,club africain,2018,/ali-abdi/marktwertverlauf/spieler/211474,211474,20,déc.,1993
Mohamed Slim Ben Othman,Ailier gauche,18 nov. 1989 (29),left,"1,81m",Tunisie,club africain,2018,/mohamed-slim-ben-othman/marktwertverlauf/spieler/223319,223319,18,nov.,1989
Mohamed Sahbi Wafi,Défense,- (-),,,Tunisie,union sportive de ben guerdane,2018,/mohamed-sahbi-wafi/marktwertverlauf/spieler/431153,431153,,,
Chiheb Boussalmi,Arrière droit,- (-),,,Tunisie,union sportive de ben guerdane,2018,/chiheb-boussalmi/marktwertverlauf/spieler/304216,304216,,,
Mohamed Zorgani,Milieu,21 août 1995 (23),,,Tunisie,union sportive de ben guerdane,2018,/mohamed-zorgani/marktwertverlauf/spieler/561894,561894,21,août,1995
Youssef Ben Romdhane,Ailier droit,10 mars 1997 (22),,,Tunisie,js kairouanaise,2018,/youssef-ben-romdhane/marktwertverlauf/spieler/608860,608860,10,mars,1997
Sabri Zaidi,Ailier droit,9 janv. 1996 (23),left,"1,74m",Tunisie,js kairouanaise,2018,/sabri-zaidi/marktwertverlauf/spieler/403259,403259,9,janv.,1996
Mohamed Aouichi,Milieu offensif,28 oct. 1991 (27),right,"1,80m",Tunisie,js kairouanaise,2018,/mohamed-aouichi/marktwertverlauf/spieler/211484,211484,28,oct.,1991
Sofiane Nasrallah,Milieu droit,1 janv. 1994 (25),right,,Tunisie,us tataouine,2018,/sofiane-nasrallah/marktwertverlauf/spieler/488612,488612,1,janv.,1994
Mohamed Ben Aziza,Milieu central,30 mai 1995 (24),right,"1,85m",Tunisie,us tataouine,2018,/mohamed-ben-aziza/marktwertverlauf/spieler/463316,463316,30,mai,1995
Ali Bguir,Milieu,- (-),,,Tunisie,us tataouine,2018,/ali-bguir/marktwertverlauf/spieler/509324,509324,,,
Hamdi Soltani,Gardien de but,15 janv. 1994 (25),,,Tunisie,us tataouine,2018,/hamdi-soltani/marktwertverlauf/spieler/504227,504227,15,janv.,1994
Mohamed Chankaoui,Ailier gauche,14 janv. 1994 (25),right,"1,73m",Tunisie,us tataouine,2018,/mohamed-chankaoui/marktwertverlauf/spieler/488620,488620,14,janv.,1994
Bilel Saidani,Milieu défensif,29 juin 1993 (26),right,"1,90m",Tunisie,club athletique bizertin,2018,/bilel-saidani/marktwertverlauf/spieler/292223,292223,29,juin,1993
Mohamed Fahd Bouzaiene,Défense,- (-),,,Tunisie,club athletique bizertin,2018,/mohamed-fahd-bouzaiene/profil/spieler/673508,673508,,,
Alaeddine Cherni,Milieu offensif,2 févr. 1995 (24),right,,Tunisie,olympique beja,2018,/alaeddine-cherni/profil/spieler/412743,412743,2,févr.,1995
Zoubaier Darragi,Milieu central,14 mai 1993 (26),left,"1,74m",Tunisie,olympique beja,2018,/zoubaier-darragi/marktwertverlauf/spieler/300415,300415,14,mai,1993
Youssef Trabelsi,Gardien de but,13 juin 1985 (34),right,,Tunisie,olympique beja,2018,/youssef-trabelsi/marktwertverlauf/spieler/161664,161664,13,juin,1985
Houssem Belhaj Mabrouk,Arrière gauche,8 déc. 1990 (28),left,,Tunisie,stade gabesien,2018,/houssem-belhaj-mabrouk/marktwertverlauf/spieler/136752,136752,8,déc.,1990
Khaled Melliti,Milieu central,21 mai 1984 (35),right,"1,80m",Tunisie,stade gabesien,2018,/khaled-melliti/marktwertverlauf/spieler/122768,122768,21,mai,1984
Mohamed Hedi Ben Taieb,Milieu défensif,31 mai 1996 (23),,,Tunisie,stade gabesien,2018,/mohamed-hedi-ben-taieb/marktwertverlauf/spieler/555699,555699,31,mai,1996
Mohamed Amine Ben Ismail,Arrière gauche,8 avr. 1987 (32),left,,Tunisie,olympique beja,2018,/mohamed-amine-ben-ismail/marktwertverlauf/spieler/122350,122350,8,avr.,1987
Charfeddine Ghidaoui,Gardien de but,18 mai 1996 (23),,,Tunisie,js kairouanaise,2018,/charfeddine-ghidaoui/marktwertverlauf/spieler/627084,627084,18,mai,1996
Sami Mhayssi,Défenseur central,24 janv. 1995 (24),right,"1,87m",Tunisie,js kairouanaise,2018,/sami-mhayssi/marktwertverlauf/spieler/407106,407106,24,janv.,1995
Wael Methnani,Défenseur central,7 mars 1992 (27),,"1,80m",Tunisie,js kairouanaise,2018,/wael-methnani/marktwertverlauf/spieler/326994,326994,7,mars,1992
Naim Berrabet,Milieu offensif,30 janv. 1978 (41),right,"1,74m",Tunisie,as soliman,2018,/naim-berrabet/profil/spieler/159540,159540,30,janv.,1978
Amine Chermiti,Avant-centre,26 déc. 1987 (31),,,Tunisie,etoile sportive du sahel,2018,/amine-chermiti/marktwertverlauf/spieler/61682,61682,26,déc.,1987
Ahmed Akaichi,Avant-centre,23 févr. 1989 (30),left,"1,85m",Tunisie,etoile sportive du sahel,2018,/ahmed-akaichi/marktwertverlauf/spieler/122623,122623,23,févr.,1989
Slim Ben Belgacem,Milieu offensif,9 juil. 1989 (29),right,"1,73m",Tunisie,etoile sportive du sahel,2018,/slim-ben-belgacem/marktwertverlauf/spieler/133032,133032,9,juil.,1989
Mohamed Aziz Msakni,Milieu offensif,20 sept. 1994 (24),right,,Tunisie,as soliman,2018,/mohamed-aziz-msakni/marktwertverlauf/spieler/290203,290203,20,sept.,1994
Hedi Jelassi,Arrière droit,8 juin 1995 (24),right,,Tunisie,as soliman,2018,/hedi-jelassi/profil/spieler/454492,454492,8,juin,1995
Mohamed Jedidi,Milieu droit,10 sept. 1978 (40),right,"1,73m",Tunisie,as soliman,2018,/mohamed-jedidi/profil/spieler/122488,122488,10,sept.,1978
Mohamed Amine Amamou,Défenseur central,6 févr. 1983 (36),right,"1,93m",Tunisie,as soliman,2018,/mohamed-amine-amamou/profil/spieler/122409,122409,6,févr.,1983
Houssem Eddine Khalladi,Défense,5 juin 1986 (33),,,Tunisie,as soliman,2018,/houssem-eddine-khalladi/profil/spieler/557128,557128,5,juin,1986
Raouf Harzli,Milieu offensif,9 janv. 1994 (25),,,Tunisie,egs gafsa,2018,/raouf-harzli/profil/spieler/463134,463134,9,janv.,1994
Ahmed Bettaieb,Milieu,29 janv. 1993 (26),,,Tunisie,es hammam sousse,2018,/ahmed-bettaieb/profil/spieler/478146,478146,29,janv.,1993
Adnène Bouazzi,Défenseur central,27 août 1987 (31),right,,Tunisie,avenir sportif de kasserine,2018,/adnene-bouazzi/marktwertverlauf/spieler/122354,122354,27,août,1987
Taoufik Chaibi,Milieu offensif,24 janv. 1990 (29),right,,Tunisie,union sportive de ben guerdane,2018,/taoufik-chaibi/marktwertverlauf/spieler/401881,401881,24,janv.,1990
Abdelwahab Nasri,Milieu offensif,19 juin 1988 (31),,,Tunisie,avenir sportif de kasserine,2018,/abdelwahab-nasri/profil/spieler/140867,140867,19,juin,1988
Alaeddine Haj Frej,Défense,7 juin 1993 (26),,,Tunisie,es hammam sousse,2018,/alaeddine-haj-frej/profil/spieler/565867,565867,7,juin,1993
Mohamed Idrissi,Milieu offensif,7 avr. 1994 (25),,,Tunisie,egs gafsa,2018,/mohamed-idrissi/marktwertverlauf/spieler/462944,462944,7,avr.,1994
Abderrahim Jeliti,Ailier gauche,9 juil. 1996 (22),,"1,77m",Tunisie,cs hammam lif,2018,/abderrahim-jeliti/marktwertverlauf/spieler/401891,401891,9,juil.,1996
Tarek Kodhai,Avant-centre,3 mai 1994 (25),,,Tunisie,cs hammam lif,2018,/tarek-kodhai/marktwertverlauf/spieler/627083,627083,3,mai,1994
Chedli Chaar,Milieu central,11 mars 1982 (37),left,,Tunisie,cs hammam lif,2018,/chedli-chaar/marktwertverlauf/spieler/123343,123343,11,mars,1982
Helmi Ben Ammar,Milieu,25 nov. 1992 (26),,,Tunisie,cs hammam lif,2018,/helmi-ben-ammar/marktwertverlauf/spieler/375157,375157,25,nov.,1992
Bassim Louhichi,Attaquant,25 avr. 1995 (24),,,Tunisie,us monastir,2018,/bassim-louhichi/marktwertverlauf/spieler/240322,240322,25,avr.,1995
Rafik Kabou,Ailier droit,28 oct. 1992 (26),right,"1,65m",Tunisie,us monastir,2018,/rafik-kabou/marktwertverlauf/spieler/252336,252336,28,oct.,1992
Anis Jelassi,Gardien de but,13 févr. 1989 (30),,"1,85m",Tunisie,co medenine,2018,/anis-jelassi/profil/spieler/511944,511944,13,févr.,1989
Anouar Fdhil,Gardien de but,20 oct. 1982 (36),,,Tunisie,co medenine,2018,/anouar-fdhil/marktwertverlauf/spieler/474984,474984,20,oct.,1982
Ahmed Mlaouek,Milieu,28 juin 1996 (23),,,Tunisie,es zarzis,2018,/ahmed-mlaouek/profil/spieler/488325,488325,28,juin,1996
Iheb Ben Youssef,Milieu défensif,24 oct. 1999 (19),,,Tunisie,es zarzis,2018,/iheb-ben-youssef/profil/spieler/567084,567084,24,oct.,1999
Aymen Ayari,Défenseur central,19 mars 1981 (38),,"1,86m",Tunisie,us monastir,2018,/aymen-ayari/marktwertverlauf/spieler/112387,112387,19,mars,1981
Walid Hichri,Défenseur central,5 mars 1986 (33),,"1,99m",Tunisie,us monastir,2018,/walid-hichri/marktwertverlauf/spieler/66845,66845,5,mars,1986
Houssem Eddine Sdiri,Défenseur central,21 août 1987 (31),right,,Tunisie,us monastir,2018,/houssem-eddine-sdiri/marktwertverlauf/spieler/207105,207105,21,août,1987
Majdi Mosrati,Milieu gauche,13 sept. 1986 (32),left,"1,82m",Tunisie,us monastir,2018,/majdi-mosrati/marktwertverlauf/spieler/63726,63726,13,sept.,1986
Mohamed Sofiane Dghim,Milieu,17 juin 1998 (21),,,Tunisie,us monastir,2018,/mohamed-sofiane-dghim/marktwertverlauf/spieler/665417,665417,17,juin,1998
Fares Aouida,Arrière gauche,18 déc. 1994 (24),left,,Tunisie,etoile sportive metlaoui,2018,/fares-aouida/marktwertverlauf/spieler/402065,402065,18,déc.,1994
Wassim Kamoun,Milieu défensif,4 août 1989 (29),right,"1,71m",Tunisie,etoile sportive metlaoui,2018,/wassim-kamoun/marktwertverlauf/spieler/159947,159947,4,août,1989
Ahmed Ben Salah,Défenseur central,29 sept. 1993 (25),,,Tunisie,etoile sportive metlaoui,2018,/ahmed-ben-salah/marktwertverlauf/spieler/370104,370104,29,sept.,1993
Bassem Saidani,Défense,24 janv. 1997 (22),,,Tunisie,etoile sportive metlaoui,2018,/bassem-saidani/marktwertverlauf/spieler/572134,572134,24,janv.,1997
Montasser Jrad,Milieu défensif,- (-),,,Tunisie,avenir sportif rejiche,2018,/montasser-jrad/profil/spieler/575011,575011,,,
Hazem Chatti,Milieu central,- (-),right,,Tunisie,avenir sportif rejiche,2018,/hazem-chatti/profil/spieler/575018,575018,,,
Marouane Zouari,Attaquant,- (-),,,Tunisie,avenir sportif rejiche,2018,/marouane-zouari/profil/spieler/577411,577411,,,
Jalel Jouini,Avant-centre,11 mai 1983 (36),,"1,85m",Tunisie,avenir sportif rejiche,2018,/jalel-jouini/profil/spieler/649381,649381,11,mai,1983
Amine Ben Abdallah,Arrière gauche,17 sept. 1985 (33),left,,Tunisie,cs chebba,2018,/amine-ben-abdallah/marktwertverlauf/spieler/290437,290437,17,sept.,1985
Fahmi Naili,Défense,9 juin 1995 (24),,,Tunisie,eo sidi bouzid,2018,/fahmi-naili/profil/spieler/463337,463337,9,juin,1995
Hatem Jellali,Gardien de but,26 avr. 1990 (29),,,Tunisie,eo sidi bouzid,2018,/hatem-jellali/profil/spieler/562491,562491,26,avr.,1990
Haythem Souai,Gardien de but,24 févr. 1992 (27),,,Tunisie,eo sidi bouzid,2018,/haythem-souai/marktwertverlauf/spieler/373909,373909,24,févr.,1992
Mohamed Riadh Hentati,Milieu,29 août 1983 (35),,,Tunisie,cs chebba,2018,/mohamed-riadh-hentati/profil/spieler/466141,466141,29,août,1983
Anouar Sahbani,Deuxième attaquant,14 juin 1985 (34),,,Tunisie,eo sidi bouzid,2018,/anouar-sahbani/profil/spieler/122516,122516,14,juin,1985
Walid Mcharek,Goalkeeper,- (-),,,Tunisie,association sportive de djerba,2018,/walid-mcharek/profil/spieler/221864,221864,,,
Walid Ben Mansour,Défenseur central,3 janv. 1983 (36),right,"1,84m",Tunisie,cs chebba,2018,/walid-ben-mansour/marktwertverlauf/spieler/133028,133028,3,janv.,1983
Majdi Makhzoumi,Défenseur central,5 févr. 1990 (29),,"1,88m",Tunisie,cs chebba,2018,/majdi-makhzoumi/marktwertverlauf/spieler/147347,147347,5,févr.,1990
Yassine Karmi,Défense,22 févr. 1988 (31),,,Tunisie,cs chebba,2018,/yassine-karmi/profil/spieler/466140,466140,22,févr.,1988
Helmi Othmani,Gardien de but,15 mars 1989 (30),,,Tunisie,cs chebba,2018,/helmi-othmani/profil/spieler/466138,466138,15,mars,1989
Slim Zakar,Avant-centre,26 mars 1991 (28),right,"1,88m",Tunisie,us tataouine,2018,/slim-zakar/marktwertverlauf/spieler/298674,298674,26,mars,1991
Naoufel Youssfi,Deuxième attaquant,22 sept. 1987 (31),right,"1,82m",Tunisie,us tataouine,2018,/naoufel-youssfi/marktwertverlauf/spieler/133205,133205,22,sept.,1987
Sofiane Hichri,Ailier gauche,26 janv. 1994 (25),,,Tunisie,us tataouine,2018,/sofiane-hichri/marktwertverlauf/spieler/504230,504230,26,janv.,1994
Alaeddine Salah,Avant-centre,2 avr. 1994 (25),,,Tunisie,cs sfaxien,2018,/alaeddine-salah/profil/spieler/321923,321923,2,avr.,1994
Zakaria Mekki,Ailier gauche,1 janv. 1998 (21),,,Tunisie,avenir sportif de gabes,2018,/zakaria-mekki/marktwertverlauf/spieler/628189,628189,1,janv.,1998
Oussama Ben Frej,Attacking Midfield,- (-),,,Tunisie,association sportive de djerba,2018,/oussama-ben-frej/profil/spieler/346648,346648,,,
Cherif Chorfane,Arrière gauche,26 nov. 1990 (27),left,"1,82m",Tunisie,stade tunisien,2017,/cherif-chorfane/marktwertverlauf/spieler/529974,529974,26,nov.,1990
Mohamed Abdelmajid Msalmi,Attaquant,9 juil. 1997 (20),,,Tunisie,co medenine,2017,/mohamed-abdelmajid-msalmi/marktwertverlauf/spieler/487197,487197,9,juil.,1997
Youssef Fouzai,Milieu offensif,2 déc. 1987 (30),left,,Tunisie,stade tunisien,2017,/youssef-fouzai/marktwertverlauf/spieler/159334,159334,2,déc.,1987
Houssem Eddine Ben Salem,Arrière gauche,29 juil. 1992 (25),,,Tunisie,avenir sportif de gabes,2017,/houssem-eddine-ben-salem/marktwertverlauf/spieler/486770,486770,29,juil.,1992
Oussama Sarray,Défense,23 sept. 1993 (24),,,Tunisie,avenir sportif de gabes,2017,/oussama-sarray/marktwertverlauf/spieler/374598,374598,23,sept.,1993
Mohamed Jenah,Gardien de but,16 janv. 1995 (23),,,Tunisie,avenir sportif de gabes,2017,/mohamed-jenah/marktwertverlauf/spieler/488322,488322,16,janv.,1995
Saifeddine Bedoui,Défense,13 janv. 1992 (26),,,Tunisie,cs chebba,2017,/saifeddine-bedoui/profil/spieler/466139,466139,13,janv.,1992
Achraf Zitouni,Milieu défensif,12 avr. 1988 (30),right,,Tunisie,cs chebba,2017,/achraf-zitouni/marktwertverlauf/spieler/244048,244048,12,avr.,1988
Haythem Gloulou,Milieu défensif,21 mars 1984 (34),right,"1,9m",Tunisie,cs chebba,2017,/haythem-gloulou/profil/spieler/466143,466143,21,mars,1984
Haithem Sassi,Milieu,- (-),,,Tunisie,stade tunisien,2017,/haithem-sassi/marktwertverlauf/spieler/173138,173138,,,
Sabri Lounis,Milieu offensif,21 mars 1989 (29),,"1,83m",Tunisie,co medenine,2017,/sabri-lounis/marktwertverlauf/spieler/74225,74225,21,mars,1989
Iheb Bouzaanouna,Gardien de but,13 avr. 1999 (19),,,Tunisie,club africain,2017,/iheb-bouzaanouna/profil/spieler/431081,431081,13,avr.,1999
Mohamed Slama,Milieu défensif,23 nov. 1984 (33),right,"1,85m",Tunisie,olympique beja,2017,/mohamed-slama/marktwertverlauf/spieler/122619,122619,23,nov.,1984
Haythem Ben Salem,Avant-centre,25 avr. 1988 (30),right,"1,82m",Tunisie,olympique beja,2017,/haythem-ben-salem/marktwertverlauf/spieler/122352,122352,25,avr.,1988
Hamadi Jeridi,Milieu défensif,13 nov. 1980 (37),right,,Tunisie,la palme sportive tozeur,2017,/hamadi-jeridi/marktwertverlauf/spieler/159338,159338,13,nov.,1980
Chaker Reguiî,Milieu central,25 mai 1987 (31),right,"1,84m",Tunisie,es zarzis,2017,/chaker-reguii/marktwertverlauf/spieler/122971,122971,25,mai,1987
Firas Kadri,Milieu défensif,22 juil. 1993 (24),right,,Tunisie,avenir sportif de gabes,2017,/firas-kadri/marktwertverlauf/spieler/488321,488321,22,juil.,1993
Rami Khrayef,Défenseur central,8 mars 1991 (27),,,Tunisie,union sportive de ben guerdane,2017,/rami-khrayef/marktwertverlauf/spieler/478000,478000,8,mars,1991
Mohamed Filali,Attaquant,23 mars 1992 (26),,,Tunisie,union sportive de ben guerdane,2017,/mohamed-filali/marktwertverlauf/spieler/407105,407105,23,mars,1992
Hassen Harbaoui,Ailier gauche,10 mars 1987 (31),right,"1,74m",Tunisie,union sportive de ben guerdane,2017,/hassen-harbaoui/marktwertverlauf/spieler/154736,154736,10,mars,1987
Ali Hammami,Défenseur central,7 févr. 1982 (36),right,,Tunisie,olympique beja,2017,/ali-hammami/marktwertverlauf/spieler/122611,122611,7,févr.,1982
Salama Kasdaoui,Avant-centre,25 nov. 1984 (33),right,"1,86m",Tunisie,cs hammam lif,2017,/salama-kasdaoui/profil/spieler/49843,49843,25,nov.,1984
Khaireddine Kanzari,Milieu,- (-),,,Tunisie,cs hammam lif,2017,/khaireddine-kanzari/marktwertverlauf/spieler/374536,374536,,,
Mahmoud Dridi,Milieu défensif,10 janv. 1985 (33),right,"1,78m",Tunisie,es hammam sousse,2017,/mahmoud-dridi/marktwertverlauf/spieler/122628,122628,10,janv.,1985
Arbi Mejri,Gardien de but,3 févr. 1985 (33),right,"1,88m",Tunisie,cs hammam lif,2017,/arbi-mejri/marktwertverlauf/spieler/52832,52832,3,févr.,1985
Mohamed Amine Ramzi,Avant-centre,1 janv. 1992 (26),right,"1,87m",Tunisie,us tataouine,2017,/mohamed-amine-ramzi/marktwertverlauf/spieler/301121,301121,1,janv.,1992
Mehdi Rsaissi,Défenseur central,5 mars 1990 (28),right,"1,83m",Tunisie,club athletique bizertin,2017,/mehdi-rsaissi/marktwertverlauf/spieler/173349,173349,5,mars,1990
Chokri Khalfa,Arrière droit,21 sept. 1982 (35),right,,Tunisie,us tataouine,2017,/chokri-khalfa/profil/spieler/463136,463136,21,sept.,1982
Hamdi Kasraoui,Gardien de but,18 janv. 1983 (35),right,"1,92m",Tunisie,club athletique bizertin,2017,/hamdi-kasraoui/marktwertverlauf/spieler/31431,31431,18,janv.,1983
Seifallah Hosni,Défenseur central,11 oct. 1985 (32),right,"1,85m",Tunisie,club athletique bizertin,2017,/seifallah-hosni/marktwertverlauf/spieler/122487,122487,11,oct.,1985
Mohamed Amine Dhiab,Défenseur central,20 sept. 1983 (34),,,Tunisie,us tataouine,2017,/mohamed-amine-dhiab/marktwertverlauf/spieler/463138,463138,20,sept.,1983
Montassar Smaoui,Gardien de but,31 mai 1991 (27),,,Tunisie,us tataouine,2017,/montassar-smaoui/profil/spieler/337536,337536,31,mai,1991
Mohamed Sghaier Jelassi,Milieu défensif,10 mai 1989 (29),right,,Tunisie,us tataouine,2017,/mohamed-sghaier-jelassi/marktwertverlauf/spieler/348420,348420,10,mai,1989
Nour Hadhria,Milieu,4 sept. 1990 (27),right,"1,87m",Tunisie,club athletique bizertin,2017,/nour-hadhria/marktwertverlauf/spieler/61944,61944,4,sept.,1990
Karim Bahi,Milieu offensif,14 févr. 1990 (28),left,,Tunisie,egs gafsa,2017,/karim-bahi/profil/spieler/403415,403415,14,févr.,1990
Chiheb Sioud,Défenseur central,23 juin 1984 (34),left,,Tunisie,avenir sportif rejiche,2017,/chiheb-sioud/profil/spieler/575013,575013,23,juin,1984
Yassine Bouchaala,Avant-centre,23 août 1980 (37),right,"1,81m",Tunisie,avenir sportif rejiche,2017,/yassine-bouchaala/marktwertverlauf/spieler/133076,133076,23,août,1980
Nizar Garbouj,Ailier gauche,10 févr. 1987 (31),right,"1,78m",Tunisie,olympique du kef,2017,/nizar-garbouj/profil/spieler/122609,122609,10,févr.,1987
Wassim Nawara,Gardien de but,26 janv. 1986 (32),right,"1,92m",Tunisie,stade gabesien,2017,/wassim-nawara/marktwertverlauf/spieler/133077,133077,26,janv.,1986
Anouar Chehibi,Milieu défensif,16 juin 1992 (26),,,Tunisie,eo sidi bouzid,2017,/anouar-chehibi/profil/spieler/173018,173018,16,juin,1992
Anis Issaoui,Ailier droit,14 janv. 1996 (22),,,Tunisie,avenir sportif de gabes,2017,/anis-issaoui/marktwertverlauf/spieler/402232,402232,14,janv.,1996
Mohamed Feriani,Défenseur central,20 juin 1990 (28),,,Tunisie,eo sidi bouzid,2017,/mohamed-feriani/marktwertverlauf/spieler/462943,462943,20,juin,1990
Moez Boujelleb,Milieu,23 août 1992 (25),,,Tunisie,us monastir,2017,/moez-boujelleb/marktwertverlauf/spieler/293158,293158,23,août,1992
Atef Toujani,Arrière droit,21 oct. 1988 (29),right,,Tunisie,us monastir,2017,/atef-toujani/marktwertverlauf/spieler/530379,530379,21,oct.,1988
Ali Mhamedi,Attaquant,- (-),,,Tunisie,avenir sportif de gabes,2017,/ali-mhamedi/marktwertverlauf/spieler/380872,380872,,,
Ahmed Marmouch,Arrière droit,3 janv. 1985 (33),right,"1,79m",Tunisie,avenir sportif de kasserine,2017,/ahmed-marmouch/profil/spieler/133131,133131,3,janv.,1985
Mohamed Ben Mansour,Défenseur central,19 juil. 1988 (29),left,"1,87m",Tunisie,us monastir,2017,/mohamed-ben-mansour/marktwertverlauf/spieler/133079,133079,19,juil.,1988
Wajdi Saidani,Arrière droit,8 août 1993 (24),right,,Tunisie,cs sfaxien,2017,/wajdi-saidani/marktwertverlauf/spieler/244025,244025,8,août,1993
Mahmoud Ben Salah,Défenseur central,6 mai 1988 (30),,"1,90m",Tunisie,cs sfaxien,2017,/mahmoud-ben-salah/marktwertverlauf/spieler/140871,140871,6,mai,1988
Nidhal Nefzi,Défenseur central,30 mars 1984 (33),left,,Tunisie,avenir sportif de kasserine,2016,/nidhal-nefzi/profil/spieler/122333,122333,30,mars,1984
Karim Kraiem,Milieu offensif,25 mars 1990 (27),right,,Tunisie,avenir sportif de kasserine,2016,/karim-kraiem/profil/spieler/471403,471403,25,mars,1990
Sabri Akrout,Arrière droit,29 janv. 1996 (21),right,,Tunisie,eo sidi bouzid,2016,/sabri-akrout/marktwertverlauf/spieler/295374,295374,29,janv.,1996
Karim Ben Amor,Défenseur central,26 juin 1986 (31),right,"1,88m",Tunisie,egs gafsa,2016,/karim-ben-amor/marktwertverlauf/spieler/111952,111952,26,juin,1986
Hamdi Chatti,Milieu défensif,4 févr. 1995 (22),,,Tunisie,cs sfaxien,2016,/hamdi-chatti/profil/spieler/562529,562529,4,févr.,1995
Lokman Belhaj,Milieu,13 juin 1992 (25),,,Tunisie,co medenine,2016,/lokman-belhaj/marktwertverlauf/spieler/190197,190197,13,juin,1992
Zied Derbali,Défenseur central,11 oct. 1984 (32),right,"1,91m",Tunisie,cs sfaxien,2016,/zied-derbali/marktwertverlauf/spieler/69098,69098,11,oct.,1984
